goos: darwin
goarch: arm64
pkg: github.com/centrifugal/centrifuge
BenchmarkRedisPublish_1Ch/lists-8     	  719241	      1620 ns/op	     496 B/op	       8 allocs/op
BenchmarkRedisPublish_1Ch/lists-8     	  776058	      1633 ns/op	     496 B/op	       8 allocs/op
BenchmarkRedisPublish_1Ch/lists-8     	  745520	      1599 ns/op	     496 B/op	       8 allocs/op
BenchmarkRedisPublish_1Ch/lists-8     	  733340	      1569 ns/op	     496 B/op	       8 allocs/op
BenchmarkRedisPublish_1Ch/lists-8     	  849621	      1616 ns/op	     496 B/op	       8 allocs/op
BenchmarkRedisPublish_1Ch/streams-8   	  783999	      1577 ns/op	     496 B/op	       8 allocs/op
BenchmarkRedisPublish_1Ch/streams-8   	  740631	      1750 ns/op	     496 B/op	       8 allocs/op
BenchmarkRedisPublish_1Ch/streams-8   	  721168	      1504 ns/op	     496 B/op	       8 allocs/op
BenchmarkRedisPublish_1Ch/streams-8   	  677445	      1569 ns/op	     496 B/op	       8 allocs/op
BenchmarkRedisPublish_1Ch/streams-8   	  858460	      1507 ns/op	     496 B/op	       8 allocs/op
BenchmarkRedisPublish_ManyCh/lists-8  	  658611	      1598 ns/op	     499 B/op	       9 allocs/op
BenchmarkRedisPublish_ManyCh/lists-8  	  740054	      1682 ns/op	     499 B/op	       9 allocs/op
BenchmarkRedisPublish_ManyCh/lists-8  	  649024	      1683 ns/op	     499 B/op	       9 allocs/op
BenchmarkRedisPublish_ManyCh/lists-8  	  705196	      1609 ns/op	     499 B/op	       9 allocs/op
BenchmarkRedisPublish_ManyCh/lists-8  	  744277	      1606 ns/op	     499 B/op	       9 allocs/op
BenchmarkRedisPublish_ManyCh/streams-8         	  701440	      1638 ns/op	     499 B/op	       9 allocs/op
BenchmarkRedisPublish_ManyCh/streams-8         	  875382	      1247 ns/op	     499 B/op	       9 allocs/op
BenchmarkRedisPublish_ManyCh/streams-8         	  764505	      1575 ns/op	     499 B/op	       9 allocs/op
BenchmarkRedisPublish_ManyCh/streams-8         	  900970	      1617 ns/op	     499 B/op	       9 allocs/op
BenchmarkRedisPublish_ManyCh/streams-8         	  771703	      1603 ns/op	     499 B/op	       9 allocs/op
BenchmarkRedisPublish_History_1Ch/lists-8      	  148845	      7914 ns/op	    1083 B/op	      25 allocs/op
BenchmarkRedisPublish_History_1Ch/lists-8      	  147848	      7942 ns/op	    1083 B/op	      25 allocs/op
BenchmarkRedisPublish_History_1Ch/lists-8      	  145336	      8070 ns/op	    1083 B/op	      25 allocs/op
BenchmarkRedisPublish_History_1Ch/lists-8      	  141648	      8061 ns/op	    1083 B/op	      25 allocs/op
BenchmarkRedisPublish_History_1Ch/lists-8      	  144219	      8045 ns/op	    1083 B/op	      25 allocs/op
BenchmarkRedisPublish_History_1Ch/streams-8    	  125131	      9795 ns/op	    1083 B/op	      25 allocs/op
BenchmarkRedisPublish_History_1Ch/streams-8    	  121538	      9671 ns/op	    1084 B/op	      25 allocs/op
BenchmarkRedisPublish_History_1Ch/streams-8    	  120582	      9681 ns/op	    1084 B/op	      25 allocs/op
BenchmarkRedisPublish_History_1Ch/streams-8    	  118276	      9670 ns/op	    1084 B/op	      25 allocs/op
BenchmarkRedisPublish_History_1Ch/streams-8    	  120668	      9708 ns/op	    1084 B/op	      25 allocs/op
PASS
ok  	github.com/centrifugal/centrifuge	39.725s
